会社名,売上高,純利益,総資産
トヨタ自動車,27200000000000.0,2200000000000.0,62200000000000.0
本田技研工業,13100000000000.0,657400000000.0,21900000000000.0
三菱商事,12800000000000.0,172500000000.0,18600000000000.0
日本電信電話,11900000000000.0,916100000000.0,22900000000000.0
日本郵政,11700000000000.0,418200000000.0,297700000000000.0
伊藤忠商事,10300000000000.0,401400000000.0,11100000000000.0
ソニーグループ,8900000000000.0,1100000000000.0,26300000000000.0
日立製作所,8699999999999.0,501600000000.0,11800000000000.0
イオン,8600000000000.0,-71000000000.0,11400000000000.0
三井物産,8000000000000.0,335400000000.0,12500000000000.0
日産自動車,7800000000000.0,-448600000000.0,16399999999999.0
第一生命ホールディングス,7800000000000.0,363700000000.0,63500000000000.0
ＥＮＥＯＳホールディングス,7600000000000.0,113900000000.0,8000000000000.0
かんぽ生命保険,6700000000000.0,166100000000.0,70099999999999.0
パナソニック,6600000000000.0,165000000000.0,6800000000000.0
丸紅,6300000000000.0,225300000000.0,6900000000000.0
豊田通商,6300000000000.0,134600000000.0,5200000000000.0
三菱ＵＦＪフィナンシャル・グループ,6000000000000.0,777000000000.0,359400000000000.0
東京電力ホールディングス,5800000000000.0,180800000000.0,12000000000000.0
セブン＆アイ・ホールディングス,5700000000000.0,179200000000.0,6900000000000.0
