会社名,勤務先,年収
株式会社UPSTART | 設立3年で5名から120名に！営業アウトソーシング急成長企業！,下記いずれかの営業所への配属となります！ ※勤務地の希望がある場合はご相談ください。 本社／東京都…,月給30万円 ※固定残業代（2万7000円／11.5時間分）含む。 　超過分は別途支給。 ※固定残業代は残業がな…
株式会社レプラスワールド | ※大阪府緊急雇用対策に賛同※成約率50％超！優良物件のみ！！,※転勤なし 【本社】 大阪府大阪市中央区谷町１丁目４番２号　大阪オルガンビル７階,"月給249,000円以上 ＋ インセンティブ ※経験、スキルなどを考慮し、決定します。 ※※基本想定初年度年…"
株式会社ビッグモーター | 業界No.1の実績＆安定性／転勤なし／残業なし／土日休み,★転勤なし ★全国の各拠点で大募集（鈑金工場併設店舗） ★マイカー通勤OK！ ★U・Iターン歓迎♪…,【東京・千葉・埼玉エリア】 ■月給25万3600円〜38万5200円 ＋ 業績給 ＋ 賞与年2回 【上記以外のエリア…
株式会社成和工業 | #大阪府緊急雇用対策に賛同#年休120日#完全週休2日(土日祝休み),◆大阪本社／大阪府大阪市住之江区柴谷2-5-14 ※四つ橋線「北加賀谷」駅から徒歩14分,◆月給21万円〜33万円 ※経験・能力・適性などを考慮のうえ、優遇いたします ⇒経験豊富な方であれば 　…
九鉄工業株式会社 | 年収例）30歳:年収550万円 35歳:年収640万円 40歳:年収700万円,【 UIターン歓迎 】 北九州・福岡・大分・長崎・熊本・鹿児島へ配属。 < 北九州支店 > 福岡県…,月給20万円〜 + 諸手当 【モデル年収例】 25歳／年収470万円 30歳／年収550万円 35歳／年収640万円 40歳…
株式会社アイダ設計 | テレビCMでお馴染みの企業！成長が止まらないハウスメーカー！,"【全国募集】 ★千葉、茨城、東京、愛知、九州で積極採用を実施中★ [宮城県]仙台 [福島県]郡山,…",【月給】20万円〜30万円 ※当初6ヵ月間は契約社員(給与は同額)その後、正社員として雇用 【入社時月収例…
KUROFUNE＆PARTNERS株式会社 | ★入社1年目全員が年収500万円以上の実績 ★千葉本社募集,#車通勤OK（社用車支給） #転勤なし 千葉県千葉市稲毛区稲毛東6-7-30 ＜アクセス＞ 「京成…,月給30万円〜60万円＋歩合 ※経験・能力等を考慮の上、当社規定により優遇します。 ※試用期間1〜6ヶ月あ…
丸原水沢製茶株式会社 | 《 四日市市水沢で楽しむお茶づくり♪ 》◆夜勤なし ◆土日休み,《 マイカー通勤可｜転勤なし 》 三重県四日市市水沢町にある「 本社工場 」or「 第二工場 」…,《 月給20万〜33万円＋各種手当＋賞与2回 》 ●会社設立以来、賞与は5ヶ月分支給中！ ※経験・能力を考慮…
株式会社ビッグモーター | ＼平均年収860万円 ◆ 年収2000万円超の実績あり／,【全国約300店舗！転勤なし！マイカー通勤OK！】 ★勤務地は希望を最大限考慮します！ 北海道 東…,月給22万8600円〜70万円（一律手当含む）＋インセンティブ＋賞与年2回＋諸手当 ※年齢・能力を考慮のう…
KUROFUNE＆PARTNERS株式会社 | ★入社1年目全員が未経験で年収500万円以上の実績 ★社用車支給,◎全営業所車通勤OK！ ◎交通費支給！ ◎転勤なし！ ■札幌第2営業所 ＊2021年7月新規オープ…,月給30万円〜60万円＋歩合 ※経験・能力等を考慮の上、当社規定により優遇します。 ※試用期間1〜6ヶ月あ…
UTエイム株式会社 | 【東証一部上場グループ】★普段着での面談でOK,【転勤なし】全国41都道府県に配属！全国各地に勤務地あり！ ☆U・Iターン歓迎！勤務地により、車・…,月給20万〜30万円 （月収例：42万円／月給30万円＋手当） ※勤務地により異なります ※経験・能力などを…
